product_name,required_image_file
Mì Hảo Hảo tôm chua cay,products/mi_hao_hao_tom_chua_cay.png
Mì Omachi sườn hầm ngũ quả,products/mi_omachi_suon_ham_ngu_qua.png
Phở bò Vifon túi,products/pho_bo_vifon_tui.png
Gạo ST25 Ông Cua túi 5kg,products/gao_st25_ong_cua_tui_5kg.png
Nước mắm Nam Ngư 750ml,products/nuoc_mam_nam_ngu_750ml.png
Nước mắm Chinsu cá hồi,products/nuoc_mam_chinsu_ca_hoi.png
Dầu ăn Tường An 2L,products/dau_an_tuong_an_2l.png
Dầu ăn Simply 2L,products/dau_an_simply_2l.png
Dầu ăn Happy Koki 2L,products/dau_an_happy_koki_2l.png
Đường tinh luyện Biên Hòa 1kg,products/duong_tinh_luyen_bien_hoa_1kg.png
Sữa đặc Ông Thọ đỏ lon,products/sua_dac_ong_tho_do_lon.png
Hạt nêm Knorr thịt thăn 400g,products/hat_nem_knorr_thit_than_400g.png
Tương ớt Chinsu 250g,products/tuong_ot_chinsu_250g.png
Nước suối Aquafina 500ml,products/nuoc_suoi_aquafina_500ml.png
Nước khoáng Lavie 500ml,products/nuoc_khoang_lavie_500ml.png
Coca Cola lon 330ml,products/coca_cola_lon_330ml.png
Pepsi lon 330ml,products/pepsi_lon_330ml.png
Sprite chai 1.5L,products/sprite_chai_1_5l.png
Trà Ô long Tea Plus,products/tra_o_long_tea_plus.png
Nước tăng lực Redbull lon,products/nuoc_tang_luc_redbull_lon.png
Cà phê lon Birdy xanh,products/ca_phe_lon_birdy_xanh.png
Dầu gội Clear Men 630g,products/dau_goi_clear_men_630g.png
Dầu gội Sunsilk mềm mượt,products/dau_goi_sunsilk_mem_muot.png
Kem đánh răng PS 123,products/kem_danh_rang_ps_123.png
Sữa tắm Lifebuoy bảo vệ,products/sua_tam_lifebuoy_bao_ve.png
Sữa rửa mặt Hazeline,products/sua_rua_mat_hazeline.png
Giấy vệ sinh Bless You lốc 10,products/giay_ve_sinh_bless_you_loc_10.png
Khăn ướt Baby gói 100 tờ,products/khan_uot_baby_goi_100_to.png
Bánh Oreo nhân socola,products/banh_oreo_nhan_socola.png
Kẹo Alpenliebe caramen,products/keo_alpenliebe_caramen.png
Bánh Cosy quy sữa 240g,products/banh_cosy_quy_sua_240g.png
Snack khoai tây Pringles,products/snack_khoai_tay_pringles.png
Socola KitKat trà xanh,products/socola_kitkat_tra_xanh.png
Bánh ChocoPie Orion hộp 6,products/banh_chocopie_orion_hop_6.png
Bánh gạo One One phô mai,products/banh_gao_one_one_pho_mai.png
Kẹo dẻo Haribo gấu,products/keo_deo_haribo_gau.png
Thịt ba chỉ bò Mỹ 500g,products/thit_ba_chi_bo_my_500g.png
Ức gà phi lê 500g,products/uc_ga_phi_le_500g.png
Cá hồi phi lê tươi 200g,products/ca_hoi_phi_le_tuoi_200g.png
Trứng gà ta vỉ 10 quả,products/trung_ga_ta_vi_10_qua.png
Khoai tây vàng túi 1kg,products/khoai_tay_vang_tui_1kg.png


