product_name,base_price,quantity,category_id,image_path
Mì Hảo Hảo tôm chua cay,5000,50,CAT001,products/mi_hao_hao_tom_chua_cay.png
Mì Omachi sườn hầm ngũ quả,8000,50,CAT001,products/mi_omachi_suon_ham_ngu_qua.png
Phở bò Vifon túi,7500,50,CAT001,products/pho_bo_vifon_tui.png
Gạo ST25 Ông Cua túi 5kg,180000,50,CAT001,products/gao_st25_ong_cua_tui_5kg.png
Nước mắm Nam Ngư 750ml,35000,50,CAT001,products/nuoc_mam_nam_ngu_750ml.png
Nước mắm Chinsu cá hồi,45000,50,CAT001,products/nuoc_mam_chinsu_ca_hoi.png
Dầu ăn Tường An 2L,52000,50,CAT001,products/dau_an_tuong_an_2l.png
Dầu ăn Simply 2L,60000,50,CAT001,products/dau_an_simply_2l.png
Dầu ăn Happy Koki 2L,60000,50,CAT001,products/dau_an_happy_koki_2l.png
Đường tinh luyện Biên Hòa 1kg,28000,50,CAT001,products/duong_tinh_luyen_bien_hoa_1kg.png
Sữa đặc Ông Thọ đỏ lon,22000,50,CAT001,products/sua_dac_ong_tho_do_lon.png
Hạt nêm Knorr thịt thăn 400g,38000,50,CAT001,products/hat_nem_knorr_thit_than_400g.png
Tương ớt Chinsu 250g,15000,50,CAT001,products/tuong_ot_chinsu_250g.png
Nước suối Aquafina 500ml,5000,50,CAT002,products/nuoc_suoi_aquafina_500ml.png
Nước khoáng Lavie 500ml,5000,50,CAT002,products/nuoc_khoang_lavie_500ml.png
Coca Cola lon 330ml,10000,50,CAT002,products/coca_cola_lon_330ml.png
Pepsi lon 330ml,10000,50,CAT002,products/pepsi_lon_330ml.png
Sprite chai 1.5L,20000,50,CAT002,products/sprite_chai_1_5l.png
Trà Ô long Tea Plus,10000,50,CAT002,products/tra_o_long_tea_plus.png
Nước tăng lực Redbull lon,15000,50,CAT002,products/nuoc_tang_luc_redbull_lon.png
Cà phê lon Birdy xanh,12000,50,CAT002,products/ca_phe_lon_birdy_xanh.png
Dầu gội Clear Men 630g,145000,50,CAT003,products/dau_goi_clear_men_630g.png
Dầu gội Sunsilk mềm mượt,135000,50,CAT003,products/dau_goi_sunsilk_mem_muot.png
Kem đánh răng PS 123,35000,50,CAT003,products/kem_danh_rang_ps_123.png
Sữa tắm Lifebuoy bảo vệ,160000,30,CAT003,products/sua_tam_lifebuoy_bao_ve.png
Sữa rửa mặt Hazeline,55000,55,CAT003,products/sua_rua_mat_hazeline.png
Giấy vệ sinh Bless You lốc 10,85000,50,CAT003,products/giay_ve_sinh_bless_you_loc_10.png
Khăn ướt Baby gói 100 tờ,40000,50,CAT003,products/khan_uot_baby_goi_100_to.png
Bánh Oreo nhân socola,15000,50,CAT004,products/banh_oreo_nhan_socola.png
Kẹo Alpenliebe caramen,12000,50,CAT004,products/keo_alpenliebe_caramen.png
Bánh Cosy quy sữa 240g,25000,50,CAT004,products/banh_cosy_quy_sua_240g.png
Snack khoai tây Pringles,35000,50,CAT004,products/snack_khoai_tay_pringles.png
Socola KitKat trà xanh,20000,50,CAT004,products/socola_kitkat_tra_xanh.png
Bánh ChocoPie Orion hộp 6,32000,50,CAT004,products/banh_chocopie_orion_hop_6.png
Bánh gạo One One phô mai,22000,50,CAT004,products/banh_gao_one_one_pho_mai.png
Kẹo dẻo Haribo gấu,18000,50,CAT004,products/keo_deo_haribo_gau.png
Thịt ba chỉ bò Mỹ 500g,150000,20,CAT005,products/thit_ba_chi_bo_my_500g.png
Ức gà phi lê 500g,45000,25,CAT005,products/uc_ga_phi_le_500g.png
Cá hồi phi lê tươi 200g,120000,15,CAT005,products/ca_hoi_phi_le_tuoi_200g.png
Trứng gà ta vỉ 10 quả,45000,50,CAT005,products/trung_ga_ta_vi_10_qua.png
Khoai tây vàng túi 1kg,25000,40,CAT005,products/khoai_tay_vang_tui_1kg.png
