product_name,category_id,image_path,source_url,status,note
Sữa tươi TH True Milk ít đường 1L,CAT006,products/sua_tuoi_th_true_milk_it_duong_1l.png,,EXACT,
Sữa tươi Vinamilk không đường 1L,CAT006,products/sua_tuoi_vinamilk_khong_duong_1l.png,,EXACT,
Sữa chua Vinamilk có đường lốc 4 hộp,CAT006,products/sua_chua_vinamilk_co_duong_loc_4_hop.png,,EXACT,
Phô mai Con Bò Cười hộp 8 miếng,CAT006,products/pho_mai_con_bo_cuoi_hop_8_mieng.png,,EXACT,
Sữa đặc Ngôi Sao Phương Nam lon 380g,CAT006,products/sua_dac_ngoi_sao_phuong_nam_lon_380g.png,,EXACT,
Sữa hạt Vinamilk óc chó 180ml lốc 4 hộp,CAT006,products/sua_hat_vinamilk_oc_cho_180ml_loc_4_hop.png,,EXACT,
Bơ lạt Anchor hộp 227g,CAT006,products/bo_lat_anchor_hop_227g.png,,EXACT,
Sữa chua uống Yakult lốc 5 chai,CAT006,products/sua_chua_uong_yakult_loc_5_chai.png,,EXACT,
Xúc xích Đức Việt gói 500g,CAT007,products/xuc_xich_duc_viet_goi_500g.png,,EXACT,
Cá viên CP gói 500g,CAT007,products/ca_vien_cp_goi_500g.png,,EXACT,
Chả giò Cầu Tre hải sản 500g,CAT007,products/cha_gio_cau_tre_hai_san_500g.png,,EXACT,
Khoai tây chiên đông lạnh 1kg,CAT007,products/khoai_tay_chien_dong_lanh_1kg.png,,EXACT,
Pizza hải sản đông lạnh 300g,CAT007,products/pizza_hai_san_dong_lanh_300g.png,,EXACT,
Gà viên chiên CP 400g,CAT007,products/ga_vien_chien_cp_400g.png,,EXACT,
Bò viên Vissan gói 500g,CAT007,products/bo_vien_vissan_goi_500g.png,,EXACT,
Há cảo tôm đông lạnh 300g,CAT007,products/ha_cao_tom_dong_lanh_300g.png,,EXACT,
Khăn giấy Pulppy 2 lớp 10 cuộn,CAT008,products/khan_giay_pulppy_2_lop_10_cuon.png,,EXACT,
Túi rác tự hủy 3 cuộn,CAT008,products/tui_rac_tu_huy_3_cuon.png,,EXACT,
Màng bọc thực phẩm Ringo 30cm x 30m,CAT008,products/mang_boc_thuc_pham_ringo_30cm_x_30m.png,,EXACT,
Hộp nhựa Lock Lock 1L,CAT008,products/hop_nhua_lock_lock_1l.png,,EXACT,
Giấy bạc nướng thực phẩm 30cm x 5m,CAT008,products/giay_bac_nuong_thuc_pham_30cm_x_5m.png,,EXACT,
Ly giấy dùng một lần 50 cái,CAT008,products/ly_giay_dung_mot_lan_50_cai.png,,EXACT,
Ống hút giấy pack 100 cái,CAT008,products/ong_hut_giay_pack_100_cai.png,,EXACT,
Túi zipper đựng thực phẩm 20 túi,CAT008,products/tui_zipper_dung_thuc_pham_20_tui.png,,EXACT,
Kem đánh răng P/S trà xanh 180g,CAT009,products/kem_danh_rang_p_s_tra_xanh_180g.png,,EXACT,
Bàn chải Oral-B mềm,CAT009,products/ban_chai_oral_b_mem.png,,EXACT,
Nước súc miệng Listerine 500ml,CAT009,products/nuoc_suc_mieng_listerine_500ml.png,,EXACT,
Dao cạo râu Gillette Blue 3,CAT009,products/dao_cao_rau_gillette_blue_3.png,,EXACT,
Lăn khử mùi Nivea Men 50ml,CAT009,products/lan_khu_mui_nivea_men_50ml.png,,EXACT,
Dầu gội Dove phục hồi hư tổn 640g,CAT009,products/dau_goi_dove_phuc_hoi_hu_ton_640g.png,,EXACT,
Sữa rửa mặt Simple 150ml,CAT009,products/sua_rua_mat_simple_150ml.png,,EXACT,
Bông tẩy trang Jomi 120 miếng,CAT009,products/bong_tay_trang_jomi_120_mieng.png,,EXACT,
Tã Bobby quần size M 68 miếng,CAT010,products/ta_bobby_quan_size_m_68_mieng.png,,EXACT,
Khăn ướt Mamamy 100 tờ,CAT010,products/khan_uot_mamamy_100_to.png,,EXACT,
Sữa tắm gội Johnson Baby 500ml,CAT010,products/sua_tam_goi_johnson_baby_500ml.png,,EXACT,
Phấn rôm Johnson Baby 200g,CAT010,products/phan_rom_johnson_baby_200g.png,,EXACT,
Bình sữa Pigeon 240ml,CAT010,products/binh_sua_pigeon_240ml.png,,EXACT,
Nước giặt Dnee hồng 3L,CAT010,products/nuoc_giat_dnee_hong_3l.png,,EXACT,
Kem chống hăm Bepanthen 30g,CAT010,products/kem_chong_ham_bepanthen_30g.png,,EXACT,
Bột ăn dặm Heinz rau củ 200g,CAT010,products/bot_an_dam_heinz_rau_cu_200g.png,,EXACT,
Tập Campus 200 trang,CAT011,products/tap_campus_200_trang.png,,EXACT,
Bút bi Thiên Long TL-027,CAT011,products/but_bi_thien_long_tl_027.png,,EXACT,
Giấy note Pronoti 3x3,CAT011,products/giay_note_pronoti_3x3.png,,EXACT,
Bìa hồ sơ A4 Plus,CAT011,products/bia_ho_so_a4_plus.png,,EXACT,
Băng keo trong 5cm,CAT011,products/bang_keo_trong_5cm.png,,EXACT,
Kéo học sinh Deli 17cm,CAT011,products/keo_hoc_sinh_deli_17cm.png,,EXACT,
Bút highlight Stabilo vàng,CAT011,products/but_highlight_stabilo_vang.png,,EXACT,
File lá A4 20 túi,CAT011,products/file_la_a4_20_tui.png,,EXACT,
Hạt mèo Whiskas cá ngừ 1.2kg,CAT012,products/hat_meo_whiskas_ca_ngu_1_2kg.png,,EXACT,
Hạt chó Pedigree vị bò 1.5kg,CAT012,products/hat_cho_pedigree_vi_bo_1_5kg.png,,EXACT,
Pate mèo Me-O cá ngừ 80g,CAT012,products/pate_meo_me_o_ca_ngu_80g.png,,EXACT,
Cát vệ sinh mèo Min 5L,CAT012,products/cat_ve_sinh_meo_min_5l.png,,EXACT,
Sữa tắm chó mèo Joyce Dolls 400ml,CAT012,products/sua_tam_cho_meo_joyce_dolls_400ml.png,,EXACT,
Snack thưởng mèo Ciao Churu 4 thanh,CAT012,products/snack_thuong_meo_ciao_churu_4_thanh.png,,EXACT,
Pate chó SmartHeart bò 130g,CAT012,products/pate_cho_smartheart_bo_130g.png,,EXACT,
Vòng cổ chó mèo size M,CAT012,products/vong_co_cho_meo_size_m.png,,EXACT,
Rau cải hữu cơ Vinamit 300g,CAT013,products/rau_cai_huu_co_vinamit_300g.png,,EXACT,
Cà rốt hữu cơ Đà Lạt 500g,CAT013,products/ca_rot_huu_co_da_lat_500g.png,,EXACT,
Yến mạch Quaker nguyên chất 400g,CAT013,products/yen_mach_quaker_nguyen_chat_400g.png,,EXACT,
Hạt chia Úc Organic 250g,CAT013,products/hat_chia_uc_organic_250g.png,,EXACT,
Gạo lứt hữu cơ Hoa Sữa 1kg,CAT013,products/gao_lut_huu_co_hoa_sua_1kg.png,,EXACT,
Mật ong hoa nhãn nguyên chất 500ml,CAT013,products/mat_ong_hoa_nhan_nguyen_chat_500ml.png,,EXACT,
Bột cacao nguyên chất 200g,CAT013,products/bot_cacao_nguyen_chat_200g.png,,EXACT,
Hạnh nhân rang bơ 250g,CAT013,products/hanh_nhan_rang_bo_250g.png,,EXACT,
Cá hộp Ba Cô Gái sốt cà 155g,CAT014,products/ca_hop_ba_co_gai_sot_ca_155g.png,,EXACT,
Thịt hộp Spam Classic 340g,CAT014,products/thit_hop_spam_classic_340g.png,,EXACT,
Pate gan Vissan hộp 170g,CAT014,products/pate_gan_vissan_hop_170g.png,,EXACT,
Cháo ăn liền Gấu Đỏ thịt bằm 50g,CAT014,products/chao_an_lien_gau_do_thit_bam_50g.png,,EXACT,
Mì ly Modern lẩu Thái 65g,CAT014,products/mi_ly_modern_lau_thai_65g.png,,EXACT,
Bún bò Huế Vifon tô 120g,CAT014,products/bun_bo_hue_vifon_to_120g.png,,EXACT,
Cơm cháy chà bông hộp 200g,CAT014,products/com_chay_cha_bong_hop_200g.png,,EXACT,
Súp nui ăn liền Knorr 60g,CAT014,products/sup_nui_an_lien_knorr_60g.png,,EXACT,
Nước lau sàn Sunlight hương hoa 1kg,CAT015,products/nuoc_lau_san_sunlight_huong_hoa_1kg.png,,EXACT,
Nước tẩy Javel Gift 1L,CAT015,products/nuoc_tay_javel_gift_1l.png,,EXACT,
Xịt phòng Glade hương hoa 280ml,CAT015,products/xit_phong_glade_huong_hoa_280ml.png,,EXACT,
Nước lau kính Gift 580ml,CAT015,products/nuoc_lau_kinh_gift_580ml.png,,EXACT,
Bình xịt côn trùng Raid 600ml,CAT015,products/binh_xit_con_trung_raid_600ml.png,,EXACT,
Miếng rửa chén Scotch Brite 3 miếng,CAT015,products/mieng_rua_chen_scotch_brite_3_mieng.png,,EXACT,
Cây lau nhà 360 độ bộ,CAT015,products/cay_lau_nha_360_do_bo.png,,EXACT,
Nước thông cống Hando 1L,CAT015,products/nuoc_thong_cong_hando_1l.png,,EXACT,
